"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Cart","1","0","Подписка на рассылку со страницы корзины","0"
"0","","0","Registration","1","0","Регистрация с существующим email","0"
"1","","0","Cart","0","0","Добавление товара в корзину со страницы товара и проверка","0"
"0","","0","Home Page","1","0","Подписка на рассылку с главной страницы","0"
"0","","0","Registration","1","0","Регистрация нового пользователя","0"
"0","","0","Login","1","0","Вход с неверными данными","0"
"0","","0","Products","1","0","Поиск товара","0"
"0","","0","Products","1","0","Просмотр карточки товара","0"
"0","","0","Contact Us","1","0","Отправка формы обратной связи","0"
"0","","0","Login","1","0","Успешный вход","0"
"1","","0","Cart","0","0","Добавление товаров в корзину и проверка","0"
