"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1175","test_search_product","tests","Fri Jul 10 09:18:31 UTC 2026","passed","Fri Jul 10 09:18:32 UTC 2026","TestProductsPage","test_products_page","",""
"","5035","test_incorrect_login_user","tests","Fri Jul 10 09:18:24 UTC 2026","passed","Fri Jul 10 09:18:29 UTC 2026","TestLogin","test_login_page","",""
"","3715","test_signup_user","tests","Fri Jul 10 09:18:32 UTC 2026","passed","Fri Jul 10 09:18:36 UTC 2026","TestRegistration","test_registration_page","",""
"","6870","test_add_products_in_cart","tests","Fri Jul 10 09:17:56 UTC 2026","broken","Fri Jul 10 09:18:03 UTC 2026","TestCartPage","test_cart_page","",""
"","13838","test_login_user","tests","Fri Jul 10 09:18:10 UTC 2026","passed","Fri Jul 10 09:18:23 UTC 2026","TestLogin","test_login_page","",""
"","658","test_subscribe_from_home","tests","Fri Jul 10 09:18:08 UTC 2026","passed","Fri Jul 10 09:18:09 UTC 2026","TestHomePage","test_home_page","",""
"","1882","test_contact_us_form","tests","Fri Jul 10 09:18:06 UTC 2026","passed","Fri Jul 10 09:18:08 UTC 2026","TestContacUsPage","test_contact_us_page","",""
"","1830","test_subscribe_from_cart","tests","Fri Jul 10 09:17:54 UTC 2026","passed","Fri Jul 10 09:17:56 UTC 2026","TestCartPage","test_cart_page","",""
"","963","test_signup_exist_email_user","tests","Fri Jul 10 09:18:37 UTC 2026","passed","Fri Jul 10 09:18:38 UTC 2026","TestRegistration","test_registration_page","",""
"","2287","test_add_product_in_cart_from_product_page","tests","Fri Jul 10 09:18:03 UTC 2026","broken","Fri Jul 10 09:18:06 UTC 2026","TestCartPage","test_cart_page","",""
"","1103","test_products_page","tests","Fri Jul 10 09:18:29 UTC 2026","passed","Fri Jul 10 09:18:30 UTC 2026","TestProductsPage","test_products_page","",""
